mix,mean_messages_in_pool,mean_cover_messages_in_pool,empty_pool_mean
M1,0.0,0.0,0.9999857142857143
M2,0.06625933740662593,0.025559744402555973,0.9999857142857143
M3,0.00996990030099699,0.0,0.9999857142857143
M4,0.049099509004909954,0.0,0.9999857142857143
M5,0.0,0.0,0.9999857142857143
M6,0.0940890591094089,0.0,0.9999857142857143
M7,0.0,0.0,0.9999857142857143
M8,0.22102778972210277,0.0,0.9999857142857143
M9,0.0,0.0,0.9999857142857143
M1,0.1846281537184628,0.0,0.9999857142857143
M2,0.7448225517744822,0.12357876421235788,0.9999857142857143
M3,0.6249337506624933,0.16347836521634784,0.9999857142857143
M4,0.46860531394686056,0.12025879741202589,0.9999857142857143
M5,0.46061539384606154,0.21850781492185078,0.9999857142857143
M6,0.4765252347476525,0.015279847201527984,0.9999857142857143
M7,0.16475835241647582,0.0,0.9999857142857143
M8,0.5345146548534515,0.23287767122328776,0.9999857142857143
M9,0.26183738162618375,0.0,0.9999857142857143
M1,0.2958570414295857,0.0988190118098819,0.9999857142857143
M2,0.00981990180098199,0.00981990180098199,0.9999857142857143
M3,0.5672743272567274,0.26313736862631376,0.9999857142857143
M4,0.2084679153208468,0.0969290307096929,0.9999857142857143
M5,0.5368446315536844,0.08909910900890991,0.9999857142857143
M6,0.07731922680773193,0.04712952870471295,0.9999857142857143
M7,0.5232447675523245,0.24617753822461774,0.9999857142857143
M8,0.36353636463635364,0.2945870541294587,0.9999857142857143
M9,0.2994170058299417,0.12435875641243588,0.9952714285714286
